z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
57;0,001439548544225888;0,004185610485299696;94,91234364748169;44,53489556358876;50,37744808389293;1353,6666341302262
58;0,0014815638041403576;0,004217242259915394;94,91234364748169;44,871457645499795;50,0408860019819;1303,4585270317416
59;0,0015238894178750007;0,0042476825597113355;94,91234364748172;45,19534243532861;49,717001212153114;1253,5806363979195
60;0,0015665135094908578;0,004276939096392943;94,9123436474817;45,506631985620906;49,4057116618608;1204,020326229709
61;0,0016094242786649643;0,00430501928177264;94,91234364748172;45,80540515806089;49,10693848942082;1154,7650409834769
62;0,0016526099977008726;0,004331930229647575;94,91234364748172;46,091737643450195;48,820606004031525;1105,8023023902035
63;0,0016960590085575667;0,004357678757601791;94,9123436474817;46,36570198088305;48,54664166659865;1057,119706294243
64;0,0017397597198960356;0,004382271388733419;94,91234364748169;46,62736757612358;48,28497607135811;1008,7049195108904
65;0,0017837006041427367;0,0044057143533072045;94,91234364748173;46,87680071918866;48,035542928293076;960,5456767018992
66;0,0018278701945692137;0,0044280135903328795;94,91234364748172;47,114064601141834;47,798279046339886;912,6297772681897
67;0,0018722570823871323;0,004449174749069756;94,91234364748175;47,3392193301022;47,57312431737955;864,9450822589727
68;0,001916849913857998;0,004469203190457878;94,91234364748175;47,55232194647183;47,36002170100991;817,4795112964907
69;0,001961637387416798;0,004488103988476195;94,91234364748172;47,753426437386715;47,158917210095;770,2210395155732
70;0,002006608250808905;0,004505881931427945;94,9123436474817;47,94258375039333;46,96975989708837;723,157694517293
71;0,002051751298239416;0,004522541523153763;94,91234364748173;48,119841806356035;46,7925018411257;676,2775533358766
72;0,0020970553675343177;0,004538086984172645;94,91234364748169;48,28524551159694;46,62709813588476;629,5687394181692
73;0,002142509337312651;0,004552522252751198;94,91234364748175;48,43883676927275;46,473506878208994;583,0194196148351
74;0,0021881021241690612;0,004565850985901317;94,91234364748169;48,58065448999001;46,331689157491674;536,6178011825729
75;0,002233822679865915;0,004578076560306697;94,91234364748168;48,71073460166326;46,201609045818415;490,35212879654523
76;0,002279659988534379;0,004589202073178242;94,9123436474817;48,829110058616486;46,08323358886522;444,2106815723086
77;0,0023256030638836613;0,004599230343038699;94,9123436474817;48,935810849931755;45,97653279754995;398,1817700964636
78;0,002371640946417758;0,0046081639104367435;94,91234364748169;49,03086400704695;45,88147964043475;352,2537334652621
79;0,0024177627006589982;0,004616005038590561;94,9123436474817;49,11429361060356;45,798050036878145;306,4149363304572
80;0,002463957412377652;0,004622755713961212;94,91234364748169;49,1861207965473;45,7262228509344;260,6537659516239
81;0,0025102141858269478;0,004628417646755907;94,91234364748169;49,24636376148285;45,665979885998844;214,9586292541924
82;0,0025565221409827458;0,004632992271361224;94,91234364748173;49,29503776728343;45,6173058801983;169,31794989247885
