z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
621;-0,00047637061261768254;-0,0020085238696040397;-546,622811702728;-2,6600890129035903;-543,9627226898244;65762,8170724198
622;-0,00047971082428763245;-0,001999718044529031;-546,622811702728;-2,648426578174248;-543,9743851245537;66306,78561832111
623;-0,00048303629913296064;-0,0019908396797730377;-546,622811702728;-2,6366680718914113;-543,9861436308365;66850,76587469273
624;-0,0004863469162528222;-0,0019818887737680924;-546,622811702728;-2,6248134919784616;-543,9979982107495;67394,75793760736
625;-0,0004896425547439853;-0,001972865324933404;-546,6228117027281;-2,6128628363418;-544,0099488663863;67938,76190313949
626;-0,0004929230937002482;-0,0019637693316753024;-546,622811702728;-2,6008161028707706;-544,0219955998572;68482,77786736605
627;-0,0004961884122129112;-0,0019546007923870734;-546,6228117027279;-2,5886732894374402;-544,0341384132904;69026,80592636587
628;-0,0004994383893706378;-0,001945359705450067;-546,6228117027281;-2,5764343938980687;-544,04637730883;69570,84617621999
629;-0,0005026729042592049;-0,0019360460692317005;-546,6228117027281;-2,5640994140904643;-544,0587122886376;70114,89871301163
630;-0,0005058918359619469;-0,0019266598820871783;-546,622811702728;-2,551668347836259;-544,0711433548917;70658,96363282611
631;-0,0005090950635592006;-0,0019172011423589375;-546,6228117027281;-2,539141192940177;-544,0836705097879;71203,04103175092
632;-0,0005122824661285275;-0,0019076698483763699;-546,622811702728;-2,526517947189664;-544,0962937555383;71747,13100587591
633;-0,0005154539227448796;-0,0018980659984561554;-546,6228117027281;-2,5137986083553323;-544,1090130943727;72291,23365129305
634;-0,0005186093124802393;-0,0018883895909022064;-546,622811702728;-2,5009831741908823;-544,1218285285371;72835,34906409646
635;-0,0005217485144037859;-0,0018786406240055564;-546,622811702728;-2,488071642432959;-544,134740060295;73379,47734038265
636;-0,0005248714075819227;-0,0018688190960442497;-546,622811702728;-2,4750640108010042;-544,147747691927;73923,61857625034
637;-0,0005279778710780003;-0,0018589250052840622;-546,622811702728;-2,461960276998212;-544,1608514257298;74467,77286780054
638;-0,0005310677839525102;-0,0018489583499774476;-546,6228117027281;-2,448760438710132;-544,174051264018;75011,94031113663
639;-0,0005341410252633072;-0,001838919128363925;-546,6228117027279;-2,435464493605182;-544,1873472091227;75556,1210023642
640;-0,00053719747406486;-0,001828807338670746;-546,622811702728;-2,422072439335536;-544,2007392633924;76100,31503759124
641;-0,0005402370094089726;-0,0018186229791120057;-546,622811702728;-2,4085842735359404;-544,2142274291921;76644,52251292812
642;-0,0005432595103442572;-0,0018083660478890873;-546,622811702728;-2,394999993824307;-544,2278117089037;77188,74352448763
643;-0,0005462648559166894;-0,0017980365431903844;-546,622811702728;-2,3813195978013453;-544,2414921049266;77732,97816838475
644;-0,0005492529251686362;-0,0017876344631918006;-546,6228117027281;-2,367543083051221;-544,2552686196768;78277,22654073706
645;-0,0005522235971400224;-0,0017771598060558058;-546,622811702728;-2,3536704471403094;-544,2691412555877;78821,48873766448
646;-0,0005551767508671368;-0,001766612569933046;-546,6228117027281;-2,339701687619326;-544,2831100151087;79365,76485528948
647;-0,00055811226538377;-0,0017559927529602892;-546,6228117027281;-2,325636802020607;-544,2971749007074;79910,05498973667
648;-0,0005610300197199658;-0,001745300353262147;-546,6228117027279;-2,3114757878603873;-544,3113359148675;80454,3592371337
649;-0,0005639298929030756;-0,0017345353689502963;-546,622811702728;-2,2972186426377723;-544,3255930600902;80998,67769361012
650;-0,00056681176395737;-0,0017236977981234802;-546,6228117027281;-2,282865363834737;-544,3399463388934;81543,0104552984
651;-0,000569675511903317;-0,0017127876388676189;-546,6228117027281;-2,2684159489162745;-544,3543957538118;82087,35761833329
652;-0,0005725210157588589;-0,0017018048892558646;-546,622811702728;-2,253870395330467;-544,3689413073974;82631,71927885222
653;-0,0005753481545384409;-0,0016907495473485468;-546,622811702728;-2,2392287005084155;-544,3835830022196;83176,09553299524
654;-0,0005781568072532883;-0,0016796216111932827;-546,622811702728;-2,2244908618643833;-544,3983208408636;83720,48647690461
655;-0,0005809468529112405;-0,0016684210788247;-546,6228117027279;-2,2096568767954325;-544,4131548259325;84264,89220672566
656;-0,0005837181705170003;-0,001657147948264659;-546,6228117027281;-2,1947267426817145;-544,4280849600464;84809,31281860617
657;-0,0005864706390718843;-0,0016458022175221965;-546,622811702728;-2,179700456886397;-544,4431112458416;85353,74840869643
658;-0,0005892041375742119;-0,001634383884593471;-546,622811702728;-2,164578016755593;-544,4582336859723;85898,19907314928
659;-0,0005919185450183606;-0,0016228929474619846;-546,6228117027281;-2,1493594196186527;-544,4734522831094;86442,66490812067
660;-0,000594613740395572;-0,0016113294040983606;-546,622811702728;-2,134044662787869;-544,4887670399401;86987,14600976878
661;-0,0005972896026939789;-0,0015996932524603436;-546,622811702728;-2,1186337435584788;-544,5041779591695;87531,64247425468
662;-0,0005999460108980781;-0,0015879844904926887;-546,6228117027281;-2,103126659208517;-544,5196850435195;88076,15439774214
663;-0,0006025828439887859;-0,0015762031161276613;-546,6228117027281;-2,0875234069994746;-544,5352882957286;88620,6818763976
664;-0,0006051999809437991;-0,0015643491272845367;-546,6228117027281;-2,0718239841756403;-544,5509877185524;89165,22500639045
665;-0,0006077973007371507;-0,0015524225218698229;-546,622811702728;-2,0560283879643935;-544,5667833147636;89709,78388389257
666;-0,0006103746823396816;-0,0015404232977769827;-546,6228117027281;-2,040136615575836;-544,5826750871522;90254,35860507867
667;-0,0006129320047182363;-0,0015283514528869335;-546,622811702728;-2,0241486642034547;-544,5986630385245;90798,9492661265
668;-0,0006154691468365503;-0,0015162069850677695;-546,6228117027279;-2,008064531023754;-544,6147471717042;91343,5559632164
669;-0,0006179859876545013;-0,0015039898921745398;-546,622811702728;-1,9918842131959604;-544,630927489532;91888,17879253146
670;-0,0006204824061286363;-0,0014917001720494705;-546,6228117027279;-1,9756077078623189;-544,6472039948655;92432,81785025791
671;-0,0006229582812116996;-0,001479337822522353;-546,6228117027281;-1,9592350121486042;-544,6635766905795;92977,47323258467
672;-0,0006254134918527998;-0,0014669028414095453;-546,6228117027279;-1,942766123162802;-544,6800455795651;93522,1450357035
673;-0,0006278479169976314;-0,0014543952265151372;-546,6228117027279;-1,9262010379966477;-544,6966106647312;94066,83335580915
