z [cm];W [rad];W' [rad/cm];MT,tot [kNcm];MT,primario [kNcm];MT,secondario [kNcm];Bimomento [kNcm^2]
85;0,0006193910258934434;0,0005235276751175405;1411,3975618759248;663,4142699089473;747,9832919669775;1157,214361090336
86;0,0006298628603857203;0,0005236381868109257;1411,3975618759248;663,554310326805;747,8432515491198;409,312232645075
87;0,000640335849920907;0,0005236431811294842;1411,3975618759246;663,5606391272823;747,8369227486423;-338,5167122814081
88;0,0006508078841918794;0,0005235426589661819;1411,3975618759246;663,4332574419456;747,9643044339791;-1086,4061827485189
89;0,0006612768527207151;0,000523336602348026;1411,3975618759246;663,1721424954185;748,2254193805062;-1834,4898986374228
90;0,0006717406444813482;0,0005230249744328531;1411,397561875925;662,7772476013114;748,6203142746135;-2582,901614559628
91;0,0006821971475221263;0,00052260771950274;1411,397561875925;662,2485021538721;749,1490597220528;-3331,775143771852
92;0,0006926442485882004;0,0005220847629540431;1411,397561875925;661,5858116153634;749,8117502605616;-4081,2443821013258
93;0,0007030798327436827;0,0005214560112840585;1411,3975618759248;660,789057499159;750,6085043767658;-4831,443331885883
94;0,0007135017829935054;0,0005207213520743051;1411,3975618759248;659,8580973485593;751,5394645273655;-5582,506125933048
95;0,0007239079799049074;0,0005198806539704231;1411,3975618759248;658,7927647113202;752,6047971646046;-6334,567051502547
96;0,0007342963012284892;0,0005189337666586902;1411,3975618759248;657,5928691098921;753,8046927660326;-7087,760574316338
97;0,0007446646215187622;0,0005178805208391442;1411,397561875925;656,2581960073636;755,1393658685613;-7842,221362600563
98;0,0007550108117541263;0,0005167207281953144;1411,3975618759246;654,7885067691024;756,6090551068223;-8598,084311163813
99;0,0007653327389562101;0,00051545418136055;1411,3975618759248;653,1835386200889;758,2140232558359;-9355,484565515702
100;0,0007756282658084997;0,0005140806538809447;961,3975618759247;651,443004597933;309,9545572779916;-10114,55754603055
101;0,0007858954619163014;0,0005126316466795946;961,3975618759247;649,6068226723822;311,79073920354244;-10425,425562516155
102;0,0007961332383954704;0,0005111386471841001;961,3975618759247;647,7148937116916;313,68266816423306;-10738,157606671932
103;0,0008063407127438443;0,0005096013884516535;961,3975618759247;645,7668794459353;315,6306824299894;-11052,809593834889
104;0,0008165169970413516;0,0005080195956260586;961,3975618759246;643,7624315773414;317,63513029858314;-11369,437782620747
105;0,0008266611977912547;0,0005063929858885878;961,3975618759248;641,7011917180184;319,69637015790636;-11688,09878498281
106;0,000836772415760396;0,000504721268407414;961,3975618759246;639,582791325875;321,8147705500496;-12008,849576333945
107;0,0008468497458184179;0,0005030041442856128;961,3975618759248;637,4068516387285;323,99071023719625;-12331,747505733605
108;0,0008568922767759295;0,0005012413065077189;961,3975618759247;635,1729836065813;326,2245782693434;-12656,850306141592
109;0,0008668990912215888;0,0004994324398848342;961,3975618759248;632,880787822062;328,5167740538628;-12984,216104740543
110;0,0008768692653580734;0,0004975772209982728;961,3975618759247;630,5298544490113;330,8677074269134;-13313,90343332881
111;0,0008868018688369081;0,0004956753181417346;961,3975618759248;628,1197631492062;333,2777987267186;-13645,971238785765
112;0,0008966959645921231;0,0004937263912619981;961,3975618759248;625,650083007204;335,74747886872075;-13980,478893611267
113;0,0009065506086727092;0,0004917300918981192;961,3975618759248;623,1203724532967;338,2771894226281;-14317,486206541249
114;0,0009163648500738435;0,0004896860631191287;961,3975618759248;620,5301791845599;340,8673826913649;-14657,05343324131
115;0,0009261377305668525;0,00048759393946021354;961,3975618759248;617,8790400839827;343,5185217919422;-14999,241287080187
116;0,0009358682845278849;0,0004854533468573737;961,3975618759247;615,1664811376639;346,23108073826074;-15344,110949985095
117;0,0009455555387652617;0,0004832639025805403;961,3975618759248;612,3920173500607;349,0055445258641;-15691,724083380826
118;0,0009551985123454727;0,0004810252151651455;961,3975618759248;609,5551526572724;351,84240921865234;-16042,142839214584
119;0,0009647962164177891;0,00047873688434212937;961,3975618759248;606,6553798383463;354,7421820375784;-16395,429871068536
120;0,0009743476540374615;0,0004763985009663739;961,3975618759247;603,692180424589;357,7053814513357;-16751,64834536202
121;0,000983851819987469;0,00047400964694354914;961,3975618759248;600,6650246068655;360,7325372690593;-17110,861952645475
122;0,00099330770059879;0,0004715698951553593;961,3975618759248;597,5733711408714;363,82419073505343;-17473,134918988097
123;0,001002714273569163;0,0004690788093831757;961,3975618759247;594,4166672503602;366,9808946255645;-17838,532017461195
124;0,0010120705077803012;0,00046653594423004275;961,3975618759246;591,1943485283101;370,2032133476145;-18207,11857971939
125;0,0010213753631135342;0,000463940845041042;961,3975618759248;587,9058388360085;373,49172303991634;-18578,96050768168
126;0,0010306277902638367;0,0004612930478220021;961,3975618759247;584,550550200041;376,84701167588366;-18954,124285314443
127;0,0010398267305522175;0,00045859207915653817;961,3975618759248;581,1278827071652;380,2696791687595;-19332,676990518565
128;0,001048971115736432;0,0004558374561214066;961,3975618759247;577,6372243970465;383,7603374788782;-19714,686307122643
129;0,0010580598678199841;0,00045302868620016024;961,3975618759248;574,0779511528431;387,31961072308167;-20100,220536984707
130;0,001067091898859384;0,00045016526719508814;961,3975618759246;570,4494265896157;390,94813528630897;-20489,34861220424
131;0,0010760661107696288;0,00044724668713742464;961,3975618759247;566,7510019405445;394,6465599353802;-20882,140107447074
132;0,0010849813951278673;0,0004442724241958112;961,3975618759248;562,982015940932;398,41554593499274;-21278,665252385006
133;0,00109383663297522;0,00044124194658299475;961,3975618759246;559,1417947099709;402,2557671659537;-21678,99494425266
134;0,0011026306946167125;0,00043815471246074617;961,3975618759246;555,2296516302575;406,16791024566703;-22083,200760523625
135;0,00111136243941929;0,00043501016984298185;961,3975618759247;551,2448872250266;410,1526746508981;-22491,35497170823
136;0,0011200307156078767;0,00043180775649707005;961,3975618759248;547,1867890330872;414,21077284283757;-22903,530554275305
137;0,0011286343600594427;0,0004285468998433062;961,3975618759246;543,0546314814376;418,34293039448704;-23319,801203700015
138;0,001137172198095041;0,00042522701685253784;961,3975618759248;538,847675755536;422,54988612038875;-23740,241347640436
139;0,0011456430432697806;0,0004218475139419207;961,3975618759247;534,5651696672019;426,8323922087228;-24164,926159244857
140;0,0011540456971606938;0,0004184077868687888;961,3975618759248;530,2063475201292;431,1912143557956;-24593,93157059252
141;0,0011623789491524623;0,0004149072206226178;961,3975618759248;525,7704299729812;435,6271319029435;-25027,334286269983
142;0,0011706415762209646;0,00041134518931506327;961,3975618759246;521,2566239000481;440,1409379758765;-25465,211797085598
143;0,0011788323427146027;0,0004077210560680545;961,3975618759247;516,6641222494386;444,7334396264861;-25907,642393924627
144;0,0011869500001333727;0,0004040341728999228;961,3975618759247;511,99210389878215;449,40545797714253;-26354,70518174729
145;0,0011949932869056374;0,0004002838806095448;961,3975618759248;507,23973350841516;454,15782836750964;-26806,48009373252
146;0,0012029609281625625;0,0003964695086584797;961,3975618759246;502,40616137202545;458,9914005038992;-27263,047905569667
147;0,001210851635510174;0,00039259037505107977;961,3975618759247;497,49052326472827;463,9070386111964;-27724,490249900926
148;0,0012186641067989986;0,0003886457862125515;961,3975618759247;492,4919402885453;468,90562158737936;-28190,88963091691
149;0,0012263970258912442;0,00038463503686494754;961,3975618759248;487,4095187152615;473,9880431606632;-28662,32943910816
150;0,0012340490624254785;0,00038055740990106487;511,39756187592474;482,24234982662944;29,15521204929528;-29138,893966175
151;0,00124161908322087;0,0003764439227609777;511,3975618759246;477,029738922711;34,36782295321366;-29170,65501045491
152;0,0012491067870084582;0,0003723255864730926;511,3975618759247;471,81098317870294;39,586578697221725;-29207,63166034925
153;0,001256512069443408;0,0003682016646940582;511,3975618759246;466,5851495003106;44,81241237561404;-29249,830527146758
154;0,001263834811444251;0,0003640714200818584;511,3975618759246;461,3513035277309;50,04625834819372;-29297,25915584929
155;0,001271074879171592;0,00035993411416397733;511,39756187592474;456,1085094685921;55,28905240733261;-29349,926026520883
156;0,0012782321240041817;0,000355789007205364;511,3975618759247;450,85582993063724;60,54173194528743;-29407,840555803923
157;0,001285306382512342;0,00035163535807617;511,3975618759247;445,59232575412267;65,80523612180204;-29471,013098602813
158;0,0012922974764287458;0,0003474724241192383;511,3975618759247;440,3170558438988;71,08050603202585;-29539,45494993539
159;0,0012992052126165434;0,00034329946101731897;511,3975618759246;435,02907700114656;76,36848487477806;-29613,178346952456
160;0,0013060293830348306;0,0003391157226599877;511,39756187592457;429,7274437547364;81,67011812118821;-29692,19647112571
161;0,0013127697647014511;0,0003349204610102445;511,3975618759247;424,4112081921819;86,9863536837428;-29776,523450604545
162;0,0013194261196531297;0,00033071292597076696;511,3975618759246;419,0794197901559;92,31814208576874;-29866,174362742113
163;0,001325998194902923;0,00032649236524979585;511,3975618759246;413,7311252445413;97,66643663138332;-29961,165236791152
164;0,0013324857223949878;0,0003222580242266282;511,3975618759246;408,36536829998323;103,03219357594139;-30061,513056769847
165;0,0013388884189566538;0,00031800914581669364;511,3975618759247;402,9811895789142;108,41637229701045;-30167,235764498604
166;0,0013452059862477928;0,00031374497033619076;511,39756187592474;397,57762641002097;113,81993546590377;-30278,352262807966
167;0,0013514381107074766;0,00030946473536625814;511,3975618759246;392,1537126561223;119,24384921980233;-30394,882418918325
168;0,0013575844634979139;0,00030516767561665704;511,3975618759247;386,70847854142784;124,68908333449684;-30516,847067992145
169;0,0013636447004456544;0,0003008530227889399;511,3975618759246;381,24095047814467;130,15661139777995;-30644,26801685922
170;0,0013696184619800536;0,0002965200054390819;511,3975618759247;375,7501508924046;135,64741098352007;-30777,16804791563
171;0,0013755053730689804;0,0002921678488395491;511,3975618759246;370,23509804947656;141,16246382644806;-30915,570923197145
172;0,0013813050431517654;0,0002877957748407803;511,39756187592457;364,6948058782367;146,7027559976879;-31059,50138862782
173;0,0013870170660693678;0,0002834030017320567;511,3975618759247;359,1282837948623;152,26927808106237;-31208,985178444458
174;0,001392641019991757;0,00027898874410173507;511,39756187592457;353,53453652571864;157,86302535020593;-31364,049019797785
175;0,0013981764673424914;0,00027455221269681877;511,3975618759245;347,9125639294087;163,48499794651582;-31524,720637531183
176;0,0014036229547204793;0,00027009261428184245;511,3975618759247;342,2613608179508;169,13620105797392;-31691,028759137796
177;0,0014089800128189145;0,00026560915149704406;511,39756187592457;336,5799167770542;174,81764509887037;-31863,00311989687
178;0,0014142471563413648;0,00026110102271580067;511,3975618759246;330,8672159854626;180,530345890462;-32040,674468190344
179;0,0014194238839150034;0,0002565674219012996;511,3975618759246;325,1222370333269;186,27532484259774;-32224,07457100052
180;0,0014245096780009653;0,00025200753846242287;511,3975618759246;319,3439527395823;192,05360913634235;-32413,236219589908
181;0,001429504004801812;0,00024742055710881593;511,3975618759246;313,5313299682915;197,8662319076331;-32608,193235364168
182;0,001434406314166093;0,00024280565770511684;511,39756187592457;307,68332944392404;203,71423243200056;-32808,980475919256
183;0,0014392160394899782;0,0002381620151243195;511,39756187592457;301,79890556553767;209,59865631038693;-33015,63384127381
184;0,0014439325976159524;0,0002334887991002434;511,39756187592457;295,87700621982844;215,52055565609615;-33228,19028028802
185;0,0014485553887285487;0,00022878517407908547;511,3975618759247;289,9165725930171;221,48098928290753;-33446,68779726983
186;0,0014530837962471047;0,00022405029907002604;511,3975618759247;283,91653898153703;227,48102289438765;-33671,165458770054
187;0,0014575171867155178;0,00021928332749486263;511,39756187592457;277,87583260148995;233,52172927443465;-33901,663400567326
188;0,001461854909688988;0,00021448340703664526;511,39756187592457;271,79337339683684;239,60418847908775;-34138,22283484418
189;0,0014660962976177192;0,00020964967948728486;511,3975618759247;265,66807384628737;245,72948802963728;-34380,88605755569
